news_headline,news_article,news_category,full_text,clean_text
"ICC mocks Sachin Tendulkar with Stokes' comparison again, criticised","The ICC has been criticised for sharing its old tweet wherein it called Ben Stokes 'the greatest cricketer of all time' in a picture with Sachin Tendulkar. ""Told you so,"" the ICC wrote alongside the post. Reacting to it, a user wrote, ""It's a shame that ICC is tweeting such stuff."" ""Pathetic from ICC,"" wrote another.",sports,"ICC mocks Sachin Tendulkar with Stokes' comparison again, criticised. The ICC has been criticised for sharing its old tweet wherein it called Ben Stokes 'the greatest cricketer of all time' in a picture with Sachin Tendulkar. ""Told you so,"" the ICC wrote alongside the post. Reacting to it, a user wrote, ""It's a shame that ICC is tweeting such stuff."" ""Pathetic from ICC,"" wrote another.",icc mock sachin tendulkar stoke comparison criticise icc criticise share old tweet wherein call ben stokes great cricketer time picture sachin tendulkar tell icc write alongside post react user write shame icc tweet stuff pathetic icc write another
"After Priyanka's photoshop, fan edits Ashwin's wife near bowler in pic","A fan photoshopped Team India off-spinner Ravichandran Ashwin's wife Prithi near the bowler in a picture wherein Ashwin was seen on a cruise along with Virat Kohli, Anushka Sharma, Mayank Agarwal and KL Rahul. The fan attributed Priyanka Chopra's photoshopped pic with Nick Jonas as his inspiration. Reacting to the fan's pic, Prithi wrote, ""HAHAHAHA but but but #whythegap?""",sports,"After Priyanka's photoshop, fan edits Ashwin's wife near bowler in pic. A fan photoshopped Team India off-spinner Ravichandran Ashwin's wife Prithi near the bowler in a picture wherein Ashwin was seen on a cruise along with Virat Kohli, Anushka Sharma, Mayank Agarwal and KL Rahul. The fan attributed Priyanka Chopra's photoshopped pic with Nick Jonas as his inspiration. Reacting to the fan's pic, Prithi wrote, ""HAHAHAHA but but but #whythegap?""",priyanka photoshop fan edit ashwin wife near bowler pic fan photoshoppe team india spinner ravichandran ashwin wife prithi near bowler picture wherein ashwin see cruise along virat kohli anushka sharma mayank agarwal kl rahul fan attribute priyanka chopra photoshoppe pic nick jonas inspiration react fan pic prithi write hahahaha whythegap
Para athlete asks PM Modi to bless them also after he meets Sindhu,"PM Narendra Modi congratulated the Indian contingent, who won 12 medals at 2019 BWF Para-Badminton World Championships, 17 hours after bronze-medallist Sukant Kadam requested him to ""bless them"". Kadam tweeted to the PM on his post wherein he shared pictures from his meeting with PV Sindhu, who won gold in women's singles event of the BWF World Championships.",sports,"Para athlete asks PM Modi to bless them also after he meets Sindhu. PM Narendra Modi congratulated the Indian contingent, who won 12 medals at 2019 BWF Para-Badminton World Championships, 17 hours after bronze-medallist Sukant Kadam requested him to ""bless them"". Kadam tweeted to the PM on his post wherein he shared pictures from his meeting with PV Sindhu, who won gold in women's singles event of the BWF World Championships.",para athlete ask pm modi bless also meet sindhu pm narendra modi congratulate indian contingent win medal bwf para badminton world championship hour bronze medallist sukant kadam request bless kadam tweet pm post wherein share picture meeting pv sindhu win gold woman single event bwf world championship
Jalaj Saxena sets rare record in Indian first-class cricket history,"Kerala all-rounder Jalaj Saxena has become the first Indian cricketer to score over 6,000 runs and take over 300 wickets in first-class cricket and still not have played for Team India. Overall, he is the 19th Indian to score 6,000 runs and take 300 wickets in first-class cricket. The 32-year-old achieved the feat during a Duleep Trophy match.",sports,"Jalaj Saxena sets rare record in Indian first-class cricket history. Kerala all-rounder Jalaj Saxena has become the first Indian cricketer to score over 6,000 runs and take over 300 wickets in first-class cricket and still not have played for Team India. Overall, he is the 19th Indian to score 6,000 runs and take 300 wickets in first-class cricket. The 32-year-old achieved the feat during a Duleep Trophy match.",jalaj saxena set rare record indian first class cricket history kerala round jalaj saxena become first indian cricketer score run take wicket first class cricket still not play team india overall th indian score run take wicket first class cricket year old achieve feat duleep trophy match
Ordering KG tutorials to help Afridi: Gambhir on his Kashmir tweet,"Former India cricketer Gautam Gambhir has criticised former Pakistan captain Shahid Afridi over his tweet wherein he said that he will soon be visiting LoC. ""Let's respond to PM call for Kashmir Hour as a nation,"" part of Afridi's tweet read.  ""[I]t's proven beyond all doubts that Afridi has refused to mature! Am ordering online kindergarten tutorials for help.""",sports,"Ordering KG tutorials to help Afridi: Gambhir on his Kashmir tweet. Former India cricketer Gautam Gambhir has criticised former Pakistan captain Shahid Afridi over his tweet wherein he said that he will soon be visiting LoC. ""Let's respond to PM call for Kashmir Hour as a nation,"" part of Afridi's tweet read.  ""[I]t's proven beyond all doubts that Afridi has refused to mature! Am ordering online kindergarten tutorials for help.""",order kg tutorial help afridi gambhir kashmir tweet former india cricketer gautam gambhir criticise former pakistan captain shahid afridi tweet wherein say soon visit loc let us respond pm call kashmir hour nation part afridi tweet read prove beyond doubt afridi refuse mature order online kindergarten tutorial help
"Sindhu's brand fee expected to double to ₹3 crore, says her manager","PV Sindhu's annual brand fee is expected to double from ₹1-1.5 crore to ₹3 crore, said Tuhin Mishra, MD of Baseline Ventures, which manages her. She became the first Indian to win gold at the BWF World Championships. The off-court earnings of Sindhu, who currently endorses 14 brands, trail only Virat Kohli among the country's top sportspersons, Mishra added.",sports,"Sindhu's brand fee expected to double to ₹3 crore, says her manager. PV Sindhu's annual brand fee is expected to double from ₹1-1.5 crore to ₹3 crore, said Tuhin Mishra, MD of Baseline Ventures, which manages her. She became the first Indian to win gold at the BWF World Championships. The off-court earnings of Sindhu, who currently endorses 14 brands, trail only Virat Kohli among the country's top sportspersons, Mishra added.",sindhu brand fee expect double crore say manager pv sindhu annual brand fee expect double crore crore say tuhin mishra md baseline venture manage become first indian win gold bwf world championship court earning sindhu currently endorse brand trail virat kohli among country top sportsperson mishra add
Rooney responds to newspaper claiming he took 'mystery woman' to hotel,"Ex-Manchester United forward Wayne Rooney has released a statement on Twitter after a British newspaper ran a story about him taking a ""mystery woman"" to his hotel. ""I didn't enter the lift alone with the girl pictured in...hotel foyer,"" he wrote. ""[The whole story] is damaging to my family and not something I'm prepared to put up with,"" he added.",sports,"Rooney responds to newspaper claiming he took 'mystery woman' to hotel. Ex-Manchester United forward Wayne Rooney has released a statement on Twitter after a British newspaper ran a story about him taking a ""mystery woman"" to his hotel. ""I didn't enter the lift alone with the girl pictured in...hotel foyer,"" he wrote. ""[The whole story] is damaging to my family and not something I'm prepared to put up with,"" he added.",rooney respond newspaper claim take mystery woman hotel ex manchester unite forward wayne rooney release statement twitter british newspaper run story take mystery woman hotel not enter lift alone girl picture hotel foyer write whole story damage family not something prepared put add
Nagal shows India can produce singles champ from India: Bindra,"India's Olympic gold-winning former shooter Abhinav Bindra praised Sumit Nagal, saying, ""We need to do a lot of work to produce a singles Grand Slam champion from India. Sumit shows us we can, we must follow through on it by creating champions!"" Nagal managed to win the opening set against five-time US Open champion Roger Federer.",sports,"Nagal shows India can produce singles champ from India: Bindra. India's Olympic gold-winning former shooter Abhinav Bindra praised Sumit Nagal, saying, ""We need to do a lot of work to produce a singles Grand Slam champion from India. Sumit shows us we can, we must follow through on it by creating champions!"" Nagal managed to win the opening set against five-time US Open champion Roger Federer.",nagal show india produce single champ india bindra india olympic gold win former shooter abhinav bindra praise sumit nagal say need lot work produce singles grand slam champion india sumit show us must follow create champion nagal manage win opening set five time us open champion roger federer
Robin Uthappa to lead Kerala in limited-overs cricket,"Robin Uthappa has been appointed as captain of Kerala in the upcoming Vijay Hazare Trophy and Syed Mushtaq Ali Trophy. The 33-year-old, who has represented Karnataka and Saurashtra in the past, has scored 6,045 runs in List A cricket. ""We've faith in Robin's leadership skills...that's why we've decided to name him captain,"" KCA secretary Sreejith V Nair said.",sports,"Robin Uthappa to lead Kerala in limited-overs cricket. Robin Uthappa has been appointed as captain of Kerala in the upcoming Vijay Hazare Trophy and Syed Mushtaq Ali Trophy. The 33-year-old, who has represented Karnataka and Saurashtra in the past, has scored 6,045 runs in List A cricket. ""We've faith in Robin's leadership skills...that's why we've decided to name him captain,"" KCA secretary Sreejith V Nair said.",robin uthappa lead kerala limit cricket robin uthappa appoint captain kerala upcoming vijay hazare trophy syed mushtaq ali trophy year old represent karnataka saurashtra past score run list cricket faith robin leadership skill decide name captain kca secretary sreejith v nair say
Ex-India pacer Wassan named chairman of DDCA selection panel,"Former India pacer Atul Wassan was on Wednesday named chairman of the senior selection committee of the Delhi & District Cricket Association (DDCA). The 51-year-old was in 2016 sacked from the same position after the DDCA management received persistent complaints regarding his alleged commercial engagements. Wassan played 13 international matches for India between 1990-1991 and took 21 wickets.
",sports,"Ex-India pacer Wassan named chairman of DDCA selection panel. Former India pacer Atul Wassan was on Wednesday named chairman of the senior selection committee of the Delhi & District Cricket Association (DDCA). The 51-year-old was in 2016 sacked from the same position after the DDCA management received persistent complaints regarding his alleged commercial engagements. Wassan played 13 international matches for India between 1990-1991 and took 21 wickets.
",ex india pacer wassan name chairman ddca selection panel former india pacer atul wassan wednesday name chairman senior selection committee delhi district cricket association ddca year old sack position ddca management receive persistent complaint regard allege commercial engagement wassan play international match india take wicket
Umpires for last 2 Ashes Tests changed after umpiring errors,"Umpires Marais Erasmus and Ruchira Palliyaguruge were named in charge for the fourth Test after Joel Wilson and Chris Gaffaney were removed from officiating in rest of the Ashes series. This comes after the third umpire overturned 19 decisions out of estimated 50 reviews in the first three Tests. Notably, eight decisions of Wilson were overturned in the first Test.",sports,"Umpires for last 2 Ashes Tests changed after umpiring errors. Umpires Marais Erasmus and Ruchira Palliyaguruge were named in charge for the fourth Test after Joel Wilson and Chris Gaffaney were removed from officiating in rest of the Ashes series. This comes after the third umpire overturned 19 decisions out of estimated 50 reviews in the first three Tests. Notably, eight decisions of Wilson were overturned in the first Test.",umpire last ashe test change umpiring error umpire marais erasmus ruchira palliyaguruge name charge fourth test joel wilson chris gaffaney remove officiate rest ashe series come third umpire overturn decision estimate review first three test notably eight decision wilson overturn first test
Too early to call for 2022 CWG boycott: Sports Minister Rijiju,"Speaking about the decision to let the Indian contingent boycott the 2022 Commonwealth Games, India's Sports Minister Kiren Rijiju said, ""[W]e will see but the call for a boycott at this point of time is too early."" A boycott was suggested by a few athletes after 'shooting' was axed from the 2022 edition by Birmingham Organising Committee, citing logistical issues.",sports,"Too early to call for 2022 CWG boycott: Sports Minister Rijiju. Speaking about the decision to let the Indian contingent boycott the 2022 Commonwealth Games, India's Sports Minister Kiren Rijiju said, ""[W]e will see but the call for a boycott at this point of time is too early."" A boycott was suggested by a few athletes after 'shooting' was axed from the 2022 edition by Birmingham Organising Committee, citing logistical issues.",early call cwg boycott sport minister rijiju speak decision let indian contingent boycott commonwealth game india sport minister kiren rijiju say see call boycott point time early boycott suggest athlete shooting axe edition birmingham organising committee cite logistical issue
"Roberts, Curtly feel Bumrah could've been a Windies pacer","Former West Indies pacers Andy Roberts and Curtly Ambrose stated that they feel Indian pacer Jasprit Bumrah could have been a part of the bowling attack the West Indies team had during their time. ""[W]e never thought they could produce someone as lethal as Bumrah. He's the best Indian fast bowler I have seen,"" Roberts said.",sports,"Roberts, Curtly feel Bumrah could've been a Windies pacer. Former West Indies pacers Andy Roberts and Curtly Ambrose stated that they feel Indian pacer Jasprit Bumrah could have been a part of the bowling attack the West Indies team had during their time. ""[W]e never thought they could produce someone as lethal as Bumrah. He's the best Indian fast bowler I have seen,"" Roberts said.",roberts curtly feel bumrah could windie pacer former west indie pacer andy roberts curtly ambrose state feel indian pacer jasprit bumrah could part bowling attack west indie team time never think could produce someone lethal bumrah good indian fast bowler see robert say
RCB have the right man in Katich for the job: Mike Hesson,"RCB's recently appointed director of cricket operations Mike Hesson has said the team have gotten the right man in Simon Katich for the post of head coach. ""He is very talented...We hope to put our best foot forward,"" added the former New Zealand coach. Further, Hesson also congratulated Ravi Shastri for being reappointed as Team India head coach.
",sports,"RCB have the right man in Katich for the job: Mike Hesson. RCB's recently appointed director of cricket operations Mike Hesson has said the team have gotten the right man in Simon Katich for the post of head coach. ""He is very talented...We hope to put our best foot forward,"" added the former New Zealand coach. Further, Hesson also congratulated Ravi Shastri for being reappointed as Team India head coach.
",rcb right man katich job mike hesson rcb recently appoint director cricket operation mike hesson say team get right man simon katich post head coach talented hope put good foot forward add former new zealand coach hesson also congratulate ravi shastri reappointe team india head coach
"Nadal reaches round 2 of US Open; Tsitsipas, Thiem crash out","Three-time champion Rafael Nadal defeated Australia's John Millman 6-3, 6-2, 6-2 to enter US Open second round where he will face Thanasi Kokkinakis. With the win, Nadal extended his record in the first round at the tournament to 15-0. Meanwhile, Stefanos Tsitsipas and Dominic Thiem crashed out following defeats in their tournament openers to Andrey Rublev and Thomas Fabbiano, respectively. 
",sports,"Nadal reaches round 2 of US Open; Tsitsipas, Thiem crash out. Three-time champion Rafael Nadal defeated Australia's John Millman 6-3, 6-2, 6-2 to enter US Open second round where he will face Thanasi Kokkinakis. With the win, Nadal extended his record in the first round at the tournament to 15-0. Meanwhile, Stefanos Tsitsipas and Dominic Thiem crashed out following defeats in their tournament openers to Andrey Rublev and Thomas Fabbiano, respectively. 
",nadal reach round us open tsitsipas thiem crash three time champion rafael nadal defeat australia john millman enter us open second round face thanasi kokkinakis win nadal extend record first round tournament meanwhile stefanos tsitsipas dominic thiem crash follow defeat tournament opener andrey rublev thomas fabbiano respectively
Rahul will be disappointed with himself: VVS Laxman,"Ex-India batsman VVS Laxman said opener KL Rahul will be ""extremely disappointed with himself for having done all the hard work...and then getting himself out"" in both innings of the first Test against West Indies. Rahul scored 44 and 38 in first and second innings, respectively. Further, Laxman praised batsman Hanuma Vihari saying, ""He batted freely without taking undue risks.""
",sports,"Rahul will be disappointed with himself: VVS Laxman. Ex-India batsman VVS Laxman said opener KL Rahul will be ""extremely disappointed with himself for having done all the hard work...and then getting himself out"" in both innings of the first Test against West Indies. Rahul scored 44 and 38 in first and second innings, respectively. Further, Laxman praised batsman Hanuma Vihari saying, ""He batted freely without taking undue risks.""
",rahul disappoint vvs laxman ex india batsman vvs laxman say opener kl rahul extremely disappointed hard work get innings first test west indie rahul score first second innings respectively laxman praise batsman hanuma vihari say bat freely without take undue risk
UK government asks Queen to suspend Parliament ahead of Brexit,"Prime Minister Boris Johnson-led UK government has asked the Queen to suspend the Parliament from mid-September until October 13. This will effectively reduce the time for MPs to pass laws to prevent a no-deal Brexit. Johnson said he would set October 14 for the Queen's speech, the formal opening of a new parliament session.",world,"UK government asks Queen to suspend Parliament ahead of Brexit. Prime Minister Boris Johnson-led UK government has asked the Queen to suspend the Parliament from mid-September until October 13. This will effectively reduce the time for MPs to pass laws to prevent a no-deal Brexit. Johnson said he would set October 14 for the Queen's speech, the formal opening of a new parliament session.",uk government ask queen suspend parliament ahead brexit prime minister boris johnson lead uk government ask queen suspend parliament mid september october effectively reduce time mp pass law prevent no deal brexit johnson say would set october queen speech formal opening new parliament session
"US TV news host compares black co-host to gorilla, apologises later","Alex Housden, a news anchor in US, apologised to her black co-host Jason Hackett after comparing him to a gorilla on a live TV segment last week. ""I want to apologise, not only to...Jason, but to our entire community,"" she said. While reporting on a gorilla at Oklahoma City Zoo, Housden had told Hackett, ""It kind of looks like you"".",world,"US TV news host compares black co-host to gorilla, apologises later. Alex Housden, a news anchor in US, apologised to her black co-host Jason Hackett after comparing him to a gorilla on a live TV segment last week. ""I want to apologise, not only to...Jason, but to our entire community,"" she said. While reporting on a gorilla at Oklahoma City Zoo, Housden had told Hackett, ""It kind of looks like you"".",us tv news host compare black co host gorilla apologise later alex housden news anchor us apologise black co host jason hackett compare gorilla live tv segment last week want apologise not jason entire community say report gorilla oklahoma city zoo housden tell hackett kind look like
NASA map shows more wildfires in Central Africa than Amazon rainforest,"NASA's Fire Information for Resource Management System's (FIRMS) fire map has revealed that fires in Central Africa are currently higher than those in the Amazon rainforest in Brazil. An analysis revealed 6,902 fires were recorded in Angola over a period of 48 hours, followed by 3,395 in the Democratic Republic of Congo. Brazil witnessed 2,127 fires over the same period.",world,"NASA map shows more wildfires in Central Africa than Amazon rainforest. NASA's Fire Information for Resource Management System's (FIRMS) fire map has revealed that fires in Central Africa are currently higher than those in the Amazon rainforest in Brazil. An analysis revealed 6,902 fires were recorded in Angola over a period of 48 hours, followed by 3,395 in the Democratic Republic of Congo. Brazil witnessed 2,127 fires over the same period.",nasa map show wildfire central africa amazon rainforest nasa fire information resource management system firm fire map reveal fire central africa currently high amazon rainforest brazil analysis reveal fire record angola period hour follow democratic republic congo brazil witness fire period
Pak PM considering full closure of airspace for India: Pak Minister,Pakistani Minister Chaudhry Fawad Hussain has said that Pakistani PM Imran Khan is considering a complete closure of airspace for India. He added that a complete ban on the use of Pakistani land routes for Indian trade to Afghanistan was also suggested during a cabinet meeting. Pakistan had earlier closed its airspace for India in the aftermath of Balakot strikes.,world,Pak PM considering full closure of airspace for India: Pak Minister. Pakistani Minister Chaudhry Fawad Hussain has said that Pakistani PM Imran Khan is considering a complete closure of airspace for India. He added that a complete ban on the use of Pakistani land routes for Indian trade to Afghanistan was also suggested during a cabinet meeting. Pakistan had earlier closed its airspace for India in the aftermath of Balakot strikes.,pak pm consider full closure airspace india pak minister pakistani minister chaudhry fawad hussain say pakistani pm imran khan consider complete closure airspace india add complete ban use pakistani land route indian trade afghanistan also suggest cabinet meeting pakistan earlier close airspace india aftermath balakot strike
B'luru engineer dies after falling 100ft in climbing accident in US,"A 35-year-old engineer from Bengaluru, identified as Chaitanya Sathe, was killed after he fell around 100 feet during a climbing accident in US' Smith Rock State Park in Oregon last week. Investigation revealed that Chaitanya had tripped and fallen while coming down a climber's path in the park. Online funding campaign was launched to fund Chaitanya's father's visit to US.",world,"B'luru engineer dies after falling 100ft in climbing accident in US. A 35-year-old engineer from Bengaluru, identified as Chaitanya Sathe, was killed after he fell around 100 feet during a climbing accident in US' Smith Rock State Park in Oregon last week. Investigation revealed that Chaitanya had tripped and fallen while coming down a climber's path in the park. Online funding campaign was launched to fund Chaitanya's father's visit to US.",bluru engineer die fall ft climb accident us year old engineer bengaluru identify chaitanya sathe kill fall around foot climbing accident us smith rock state park oregon last week investigation reveal chaitanya trip fall come climber path park online funding campaign launch fund chaitanya father visit us
Pak policy changed from taking Srinagar to saving Muzaffarabad: Bilawal,"Pakistani Opposition leader Bilawal Bhutto Zardari criticised Pakistan PM Imran Khan over the handling of the Kashmir issue. ""Earlier, Pakistan's policy on Kashmir was on how we'll take Srinagar. Now after Khan's failure, our position has changed to focus on how we'll save [PoK's capital] Muzaffarabad,"" Bhutto said. Pakistani public can see Khan has failed in all aspects, he added.",world,"Pak policy changed from taking Srinagar to saving Muzaffarabad: Bilawal. Pakistani Opposition leader Bilawal Bhutto Zardari criticised Pakistan PM Imran Khan over the handling of the Kashmir issue. ""Earlier, Pakistan's policy on Kashmir was on how we'll take Srinagar. Now after Khan's failure, our position has changed to focus on how we'll save [PoK's capital] Muzaffarabad,"" Bhutto said. Pakistani public can see Khan has failed in all aspects, he added.",pak policy change take srinagar save muzaffarabad bilawal pakistani opposition leader bilawal bhutto zardari criticise pakistan pm imran khan handling kashmir issue earlier pakistan policy kashmir take srinagar khan failure position change focus save pok capital muzaffarabad bhutto say pakistani public see khan fail aspect add
Jaishankar visits Russia for first time as Foreign Minister,"Foreign Minister S Jaishankar met his Russian counterpart Sergey Lavrov on Wednesday on his first visit to the country since assuming the office in May. Jaishankar reviewed the preparations for Prime Minister Narendra Modi's visit to Russia next week and also discussed regional and international issues of mutual interest. ""A truly special and privileged strategic partnership,"" tweeted Jaishankar.",world,"Jaishankar visits Russia for first time as Foreign Minister. Foreign Minister S Jaishankar met his Russian counterpart Sergey Lavrov on Wednesday on his first visit to the country since assuming the office in May. Jaishankar reviewed the preparations for Prime Minister Narendra Modi's visit to Russia next week and also discussed regional and international issues of mutual interest. ""A truly special and privileged strategic partnership,"" tweeted Jaishankar.",jaishankar visit russia first time foreign minister foreign minister jaishankar meet russian counterpart sergey lavrov wednesday first visit country since assume office may jaishankar review preparation prime minister narendra modi visit russia next week also discuss regional international issue mutual interest truly special privileged strategic partnership tweet jaishankar
Pakistan partially closes Karachi airspace till August 31,"Pakistan has closed three aviation routes of Karachi airspace for all international flights till August 31. In a Notice to Airmen, Pakistan's Civil Aviation Authority provided pilots with an alternate route to circumnavigate Karachi airspace. This comes after Pakistani Minister Chaudhry Fawad Hussain said PM Imran Khan is considering a complete ban on the use of Pakistani airspace for India.",world,"Pakistan partially closes Karachi airspace till August 31. Pakistan has closed three aviation routes of Karachi airspace for all international flights till August 31. In a Notice to Airmen, Pakistan's Civil Aviation Authority provided pilots with an alternate route to circumnavigate Karachi airspace. This comes after Pakistani Minister Chaudhry Fawad Hussain said PM Imran Khan is considering a complete ban on the use of Pakistani airspace for India.",pakistan partially close karachi airspace till august pakistan close three aviation route karachi airspace international flight till august notice airman pakistan civil aviation authority provide pilot alternate route circumnavigate karachi airspace come pakistani minister chaudhry fawad hussain say pm imran khan consider complete ban use pakistani airspace india
Prince Andrew knows what he's done: Jeffrey Epstein accuser,"Virginia Giuffre, who accused late millionaire Jeffrey Epstein of keeping her as a sex slave and alleged she was forced to have sex with Prince Andrew, said the Prince ""knows what he's done"". ""I hope he comes clean about it,"" Giuffre added. Prince Andrew admitted to his relations with Epstein but denied knowing about the trafficking of minors by him.",world,"Prince Andrew knows what he's done: Jeffrey Epstein accuser. Virginia Giuffre, who accused late millionaire Jeffrey Epstein of keeping her as a sex slave and alleged she was forced to have sex with Prince Andrew, said the Prince ""knows what he's done"". ""I hope he comes clean about it,"" Giuffre added. Prince Andrew admitted to his relations with Epstein but denied knowing about the trafficking of minors by him.",prince andrew know jeffrey epstein accuser virginia giuffre accuse late millionaire jeffrey epstein keep sex slave allege force sex prince andrew say prince know hope come clean giuffre add prince andrew admit relation epstein deny know trafficking minor
1 million hectares of land affected by Bolivia forest fires,Around 1 million hectares of land have been affected due to wildfires in Bolivia's forests and the fires from the Amazon rainforest in neighbouring Brazil have also reached the country. Bolivia's President Evo Morales has accepted international aid to fight the fires and contracted a Boeing 747 SuperTanker from the US to drop water.,world,1 million hectares of land affected by Bolivia forest fires. Around 1 million hectares of land have been affected due to wildfires in Bolivia's forests and the fires from the Amazon rainforest in neighbouring Brazil have also reached the country. Bolivia's President Evo Morales has accepted international aid to fight the fires and contracted a Boeing 747 SuperTanker from the US to drop water.,million hectare land affect bolivia forest fire around million hectare land affect due wildfire bolivia forest fire amazon rainforest neighbour brazil also reach country bolivia president evo morale accept international aid fight fire contract boeing supertanker us drop water
Trump says no bedbugs at his resort he offered for next G7 summit,"Reacting to what he said were ""nasty rumours"", US President Donald Trump said that there are no bedbugs at his Doral resort in Miami where he has offered to host the next G7 summit. Trump's response came after a 2016 lawsuit by a guest alleging bedbug infestation surfaced. Trump added that the ""rumours"" were being spread by the Democrats.",world,"Trump says no bedbugs at his resort he offered for next G7 summit. Reacting to what he said were ""nasty rumours"", US President Donald Trump said that there are no bedbugs at his Doral resort in Miami where he has offered to host the next G7 summit. Trump's response came after a 2016 lawsuit by a guest alleging bedbug infestation surfaced. Trump added that the ""rumours"" were being spread by the Democrats.",trump say no bedbug resort offer next g summit react say nasty rumour us president donald trump say no bedbug doral resort miami offer host next g summit trump response come lawsuit guest allege bedbug infestation surface trump add rumour spread democrat
May take Amazon fire aid if Macron withdraws insults: Brazil Prez,"Brazilian President Jair Bolsonaro has said his country is open to accepting $20 million (over ₹142 crore) aid from G7 countries to fight the forest fires in the Amazon but only if French President Emmanuel Macron withdraws his ""insults"". Bolsonaro claimed that Macron had called him a liar and accused the French President of disrespecting Brazil's sovereignty amid the fires.",world,"May take Amazon fire aid if Macron withdraws insults: Brazil Prez. Brazilian President Jair Bolsonaro has said his country is open to accepting $20 million (over ₹142 crore) aid from G7 countries to fight the forest fires in the Amazon but only if French President Emmanuel Macron withdraws his ""insults"". Bolsonaro claimed that Macron had called him a liar and accused the French President of disrespecting Brazil's sovereignty amid the fires.",may take amazon fire aid macron withdraw insult brazil prez brazilian president jair bolsonaro say country open accept million crore aid g country fight forest fire amazon french president emmanuel macron withdraw insult bolsonaro claim macron call liar accuse french president disrespect brazil sovereignty amid fire
Queen approves UK govt request to suspend Parliament before Brexit,UK's Queen Elizabeth II has approved the government's request to suspend the Parliament from mid-September till October 14. The suspension of the Parliament comes before Brexit which is scheduled for October 31. UK Opposition leaders have written to the Queen to express their concern over the government's move to suspend the Parliament.,world,Queen approves UK govt request to suspend Parliament before Brexit. UK's Queen Elizabeth II has approved the government's request to suspend the Parliament from mid-September till October 14. The suspension of the Parliament comes before Brexit which is scheduled for October 31. UK Opposition leaders have written to the Queen to express their concern over the government's move to suspend the Parliament.,queen approve uk govt request suspend parliament brexit uk queen elizabeth ii approve government request suspend parliament mid september till october suspension parliament come brexit schedule october uk opposition leader write queen express concern government move suspend parliament
"23 killed, 13 injured in attack by firebombs on bar in Mexico","Twenty-three people were killed and 13 others were injured in a suspected attack by firebombs on a bar in the Mexican city of Coatzacoalcos on Tuesday, officials said. Men opened fire with machine guns first and then threw firebombs at the bar, the local media reported. The Governor of Veracruz state said a gang dispute was involved in the attack.",world,"23 killed, 13 injured in attack by firebombs on bar in Mexico. Twenty-three people were killed and 13 others were injured in a suspected attack by firebombs on a bar in the Mexican city of Coatzacoalcos on Tuesday, officials said. Men opened fire with machine guns first and then threw firebombs at the bar, the local media reported. The Governor of Veracruz state said a gang dispute was involved in the attack.",kill injure attack firebomb bar mexico twenty three people kill injure suspect attack firebomb bar mexican city coatzacoalcos tuesday official say man open fire machine gun first throw firebomb bar local medium report governor veracruz state say gang dispute involve attack
China denies US warship request to visit Qingdao port,"China has denied a request for an American warship to visit the Chinese port city of Qingdao, the US Navy said. Earlier this month, China had also denied permission to two American warships to dock in Hong Kong. This comes amid the latest tensions between China and the US over the trade war and the protests in Hong Kong. ",world,"China denies US warship request to visit Qingdao port. China has denied a request for an American warship to visit the Chinese port city of Qingdao, the US Navy said. Earlier this month, China had also denied permission to two American warships to dock in Hong Kong. This comes amid the latest tensions between China and the US over the trade war and the protests in Hong Kong. ",china deny us warship request visit qingdao port china deny request american warship visit chinese port city qingdao us navy say earlier month china also deny permission two american warship dock hong kong come amid late tension china us trade war protest hong kong
Pak building military posts in our territory: Afghanistan to UNSC,"Afghanistan has written to the United Nations Security Council (UNSC) over Pakistan's violations of Afghan territory. Pakistan is building military posts and barriers on Afghan territory and violating Afghan airspace, Adela Raz, Afghanistan's Ambassador to the UN wrote in a letter dated August 22. Shelling by Pakistan resulted in the destruction of property and displacement of locals, she added.",world,"Pak building military posts in our territory: Afghanistan to UNSC. Afghanistan has written to the United Nations Security Council (UNSC) over Pakistan's violations of Afghan territory. Pakistan is building military posts and barriers on Afghan territory and violating Afghan airspace, Adela Raz, Afghanistan's Ambassador to the UN wrote in a letter dated August 22. Shelling by Pakistan resulted in the destruction of property and displacement of locals, she added.",pak build military post territory afghanistan unsc afghanistan write united nation security council unsc pakistan violation afghan territory pakistan build military post barrier afghan territory violate afghan airspace adela raz afghanistan ambassador un write letter date august shell pakistan result destruction property displacement local add
US deported me over friends' FB posts: Palestinian Harvard student,A Palestinian student at Harvard University has said that he was deported by the US over the Facebook posts made by his friends. Ismail Ajjawi said that officials found his friends posting political points of view that oppose the US. Ajjawi added that he has never posted his own political views on social media.,world,US deported me over friends' FB posts: Palestinian Harvard student. A Palestinian student at Harvard University has said that he was deported by the US over the Facebook posts made by his friends. Ismail Ajjawi said that officials found his friends posting political points of view that oppose the US. Ajjawi added that he has never posted his own political views on social media.,us deport friend fb post palestinian harvard student palestinian student harvard university say deport us facebook post make friend ismail ajjawi say official find friend post political point view oppose us ajjawi add never post political view social medium
